Model,Total Anomalies,Temperature Anomalies,Precipitation Anomalies,Avg Max Temp,Avg Min Temp,Avg Precipitation
Isolation Forest,154,147,154,22.271428571428572,12.461224489795919,11.716233766233765
Local Outlier Factor,154,59,154,26.22203389830508,16.398275862068964,7.618831168831169
One-Class SVM,159,137,159,23.216058394160584,13.586764705882354,12.1811320754717
