DATE,TMAX_F,ANOMALY_TYPE,Z_SCORE,PRCP_IN,TEMP_RANGE_F
1892-12-27,48.02,TMAX_F_STATISTICAL,3.0573838724863824,,
1893-01-16,41.0,TMAX_F_STATISTICAL,3.7327158661385376,,
1893-01-17,46.04,TMAX_F_STATISTICAL,3.2478621271062216,,
1892-05-21,,PRCP_IN_STATISTICAL,3.872104213204977,1.799212598425197,
1892-06-18,,PRCP_IN_STATISTICAL,3.7347375480607816,1.7401574803149609,
1892-07-05,,PRCP_IN_STATISTICAL,5.364821974438571,2.440944881889764,
1892-08-03,,PRCP_IN_STATISTICAL,3.991155322996613,1.8503937007874016,
1892-08-05,,PRCP_IN_STATISTICAL,4.549779761249677,2.0905511811023625,
1892-08-09,,PRCP_IN_STATISTICAL,3.5698975498877465,1.6692913385826773,
1893-02-12,,PRCP_IN_STATISTICAL,6.665226404470292,3.0000000000000004,
1893-02-26,,PRCP_IN_STATISTICAL,5.035141978092501,2.2992125984251968,
1893-06-01,,PRCP_IN_STATISTICAL,3.3867419963621517,1.5905511811023623,
1893-06-07,,PRCP_IN_STATISTICAL,5.035141978092501,2.2992125984251968,
1893-07-06,,PRCP_IN_STATISTICAL,3.3409531079807535,1.5708661417322836,
1893-07-27,,PRCP_IN_STATISTICAL,11.54632190592738,5.098425196850394,
1893-07-28,,PRCP_IN_STATISTICAL,3.176113109807719,1.5000000000000002,
1893-08-16,,PRCP_IN_STATISTICAL,4.293361986313844,1.9803149606299213,
1894-01-29,,PRCP_IN_STATISTICAL,4.009470878349173,1.8582677165354333,
1895-04-08,,PRCP_IN_STATISTICAL,4.3391508746952425,2.0,
1895-06-27,,PRCP_IN_STATISTICAL,3.0570620000160815,1.4488188976377951,
1895-07-04,,PRCP_IN_STATISTICAL,3.5973708829165854,1.6811023622047245,
1895-07-15,,PRCP_IN_STATISTICAL,4.155995321169648,1.921259842519685,
1895-07-18,,PRCP_IN_STATISTICAL,4.064417544406851,1.8818897637795275,
1895-08-07,,PRCP_IN_STATISTICAL,3.1028508883974806,1.468503937007874,
1895-09-05,,PRCP_IN_STATISTICAL,3.9636819899677747,1.8385826771653546,
1895-09-12,,PRCP_IN_STATISTICAL,4.293361986313844,1.9803149606299213,
1896-05-01,,PRCP_IN_STATISTICAL,3.405057551714711,1.5984251968503937,
1896-06-03,,PRCP_IN_STATISTICAL,3.405057551714711,1.5984251968503937,
1896-06-16,,PRCP_IN_STATISTICAL,3.176113109807719,1.5000000000000002,
1896-06-26,,PRCP_IN_STATISTICAL,3.405057551714711,1.5984251968503937,
1896-11-04,,PRCP_IN_STATISTICAL,3.405057551714711,1.5984251968503937,
1897-02-05,,PRCP_IN_STATISTICAL,3.405057551714711,1.5984251968503937,
1897-02-12,,PRCP_IN_STATISTICAL,4.3391508746952425,2.0,
1897-04-09,,PRCP_IN_STATISTICAL,4.568095316602235,2.0984251968503935,
1897-06-20,,PRCP_IN_STATISTICAL,5.035141978092501,2.2992125984251968,
1897-07-10,,PRCP_IN_STATISTICAL,3.6431597712979844,1.7007874015748035,
1897-07-11,,PRCP_IN_STATISTICAL,3.176113109807719,1.5000000000000002,
1897-07-12,,PRCP_IN_STATISTICAL,8.991301934245339,4.0,
1897-08-09,,PRCP_IN_STATISTICAL,8.991301934245339,4.0,
1897-09-06,,PRCP_IN_STATISTICAL,6.665226404470292,3.0000000000000004,
1897-09-11,,PRCP_IN_STATISTICAL,4.3391508746952425,2.0,
1897-09-20,,PRCP_IN_STATISTICAL,13.643452993795437,6.000000000000001,
1897-09-21,,PRCP_IN_STATISTICAL,3.176113109807719,1.5000000000000002,
1892-05-24,,TEMP_RANGE_F_STATISTICAL,4.117238814268919,,41.940000000000005
1893-04-01,,TEMP_RANGE_F_STATISTICAL,3.04810839398982,,35.100000000000016
