Model,Total Anomalies,Temperature Anomalies,Precipitation Anomalies,Avg Max Temp (°F),Avg Min Temp (°F),Avg Precipitation (in)
Isolation Forest,154,147,154,72.08857142857143,54.43020408163265,0.46126904591471524
Local Outlier Factor,154,59,154,79.19966101694916,61.51689655172414,0.2999539830248492
One-Class SVM,159,137,159,73.78890510948905,56.456176470588225,0.47957212895557866
